id,stats_inc_id,team_id,playerstats_id,first,last,num,pos,import_status,height,weight,birthdate,birthplace,college,yrsteam,yrsleague,ros_status,created_at
1,286491,11,5962,Damon,Allen,9,1,1,6.00,186,1963-07-29,"San Diego, CA","Cal State Fullerton",5,23,3,"2008-04-18 11:42:17"
3,NULL,11,5983,Sandy,Annunziata,66,7,0,6.02,300,1969-10-11,"Fort Erie, Ontario","Western Ontario",1,10,3,"2008-04-18 11:42:17"
5,NULL,11,6048,Bruce,Beaton,62,9,0,,0,NULL,,Acadia,0,0,3,"2008-04-18 11:42:17"
7,NULL,11,6063,Daved,Benefield,7,14,1,6.03,245,1968-02-16,"Los Angeles, California","Cal State Northridge",2,13,3,"2008-04-18 11:42:17"
9,NULL,11,6333,Jamie,Crysdale,67,6,0,6.04,289,1968-12-14,"Mississauga, Ontario",Cincinnati,13,13,3,"2008-04-18 11:42:17"
11,286477,11,6522,Sean,Fleming,11,16,0,6.03,190,1970-03-19,"Burnaby, BC",Wyoming,16,16,3,"2008-04-18 11:42:17"
13,NULL,11,6553,Malcolm,Frank,10,11,1,5.08,182,1968-11-05,"Beaumont, TX",Baylor,8,10,3,"2008-04-18 11:42:17"
15,NULL,11,7048,Cory,Mantyka,68,8,0,6.05,299,1970-05-31,"Saskatoon, Saskatchewan",Jamestown,14,14,3,"2008-04-18 11:42:17"
17,NULL,11,7121,Danny,McManus,14,1,0,6.00,220,1965-06-17,"Dania, Florida","Florida State",1,17,3,"2008-04-18 11:42:17"
19,NULL,11,7183,Chris,Morris,60,8,0,6.05,290,1968-09-13,"Scarborough, ON",Toronto,14,14,3,"2008-04-18 11:42:17"
21,286764,11,7199,Yo,Murphy,5,4,1,5.11,190,1971-05-11,"San Pedro, CA",Idaho,8,8,3,"2008-04-18 11:42:17"
23,NULL,10,0,"Tory ",Collins,99,21,1,6.02,285,1982-12-19,"New Orleans, LA","Northwestern State",2,1,4,"2008-04-18 11:42:23"
25,22202,11,7581,Milt,Stegall,85,5,1,6.00,189,1970-01-25,Cincinnatti,"Miami (Ohio)",14,14,3,NULL
27,NULL,11,7715,Gerald,Vaughn,39,13,1,6.04,207,1970-04-08,"Abbeville, Mississippi",Mississippi,13,13,3,"2008-04-18 11:42:17"
29,286501,10,7783,Troy,Westwood,74,17,0,5.10,190,1967-03-21,"Selkirk, MB","Augustana College Sioux Falls",19,19,3,NULL
