roster_id,season,season_type,team_id,games,touchdowns,points,two_point_points,total_singles,punt_singles,field_goal_singles,kickoff_singles,fumbles,fumbles_lost,fumble_return_yards,fumble_touchdowns
31,9,pre,9,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
31,9,reg,9,7,0,0,0,0,0,0,0,2,2,NULL,NULL
33,9,post,1,1,0,7,0,1,1,0,0,NULL,NULL,NULL,NULL
33,9,reg,1,15,0,137,0,7,3,2,2,NULL,NULL,NULL,NULL
33,13,post,1,1,0,3,0,0,0,0,0,NULL,NULL,NULL,NULL
33,13,pre,1,1,0,18,0,0,0,0,0,NULL,NULL,NULL,NULL
33,13,reg,1,18,0,151,0,4,1,3,0,NULL,NULL,NULL,NULL
33,14,reg,4,4,0,38,0,1,0,1,0,NULL,NULL,NULL,NULL
91,9,post,6,3,1,6,0,0,0,0,0,2,1,NULL,NULL
91,9,pre,6,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
91,9,reg,6,18,0,0,0,0,0,0,0,6,3,NULL,NULL
91,13,pre,65,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
91,13,reg,65,18,2,12,0,0,0,0,0,6,2,NULL,NULL
91,14,pre,65,2,0,0,0,0,0,0,0,1,NULL,NULL,NULL
91,14,reg,65,5,1,8,1,0,0,0,0,3,NULL,NULL,NULL
99,9,reg,5,12,0,79,0,2,0,2,0,NULL,NULL,NULL,NULL
109,9,post,4,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
109,9,pre,4,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
109,9,reg,4,10,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
109,13,pre,4,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
109,13,reg,4,7,0,0,0,0,0,0,0,NULL,NULL,11,NULL
127,9,pre,3,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
209,9,post,4,3,2,12,0,0,0,0,0,NULL,NULL,NULL,NULL
209,9,reg,4,15,3,18,0,0,0,0,0,1,1,NULL,NULL
269,9,post,2,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
269,9,pre,2,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
269,9,reg,2,14,0,0,0,0,0,0,0,4,2,NULL,NULL
269,13,post,1,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
269,13,pre,1,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
269,13,reg,1,17,1,6,0,0,0,0,0,3,1,NULL,NULL
269,14,pre,4,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
269,14,reg,4,5,0,0,0,0,0,0,0,1,NULL,NULL,NULL
343,9,reg,9,3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
349,9,pre,7,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
349,9,reg,7,4,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
381,9,reg,2,3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
381,13,reg,2,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
383,9,post,7,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
383,9,pre,7,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
383,9,reg,7,10,2,12,0,0,0,0,0,3,1,NULL,NULL
383,13,pre,7,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
383,13,reg,7,17,1,6,0,0,0,0,0,5,4,NULL,NULL
395,9,pre,1,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
395,9,reg,1,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
395,9,reg,5,3,0,0,0,0,0,0,0,1,1,NULL,NULL
395,13,reg,3,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
401,9,reg,2,7,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
401,13,reg,2,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
401,14,reg,2,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
427,13,reg,7,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
427,14,pre,7,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
427,14,reg,7,4,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
485,9,reg,5,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
501,9,post,9,1,0,2,0,2,2,0,0,1,NULL,NULL,NULL
501,9,reg,9,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
571,9,pre,9,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
571,9,reg,9,5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
571,14,pre,4,1,0,0,0,0,0,0,0,1,NULL,NULL,NULL
571,14,reg,4,5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
603,9,post,1,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
